city,lat,lng,population,region
Casablanca,33.5992,-7.6200,3752000,Grand Casablanca-Settat
Rabat,34.0209,-6.8416,577827,Rabat-Salé-Kénitra
Marrakech,31.6295,-7.9811,928850,Marrakech-Safi
Fes,34.0333,-5.0000,1112072,Fès-Meknès
Tangier,35.7595,-5.8340,947952,Tanger-Tétouan-Al Hoceïma
Agadir,30.4278,-9.5981,421844,Souss-Massa
Meknes,33.8833,-5.5500,632079,Fès-Meknès
Oujda,34.6867,-1.9114,494252,Oriental
Kenitra,34.2610,-6.5802,431282,Rabat-Salé-Kénitra
Tetouan,35.5785,-5.3684,380787,Tanger-Tétouan-Al Hoceïma
Safi,32.2994,-9.2372,308508,Marrakech-Safi
El Jadida,33.2316,-8.5007,194934,Grand Casablanca-Settat
Beni Mellal,32.3373,-6.3498,192676,Béni Mellal-Khénifra
Nador,35.1740,-2.9287,161726,Oriental
Khouribga,32.8811,-6.9063,166397,Béni Mellal-Khénifra
Taza,34.2100,-4.0100,139686,Fès-Meknès
Settat,33.0014,-7.6197,142250,Grand Casablanca-Settat
Larache,35.1932,-6.1560,125008,Tanger-Tétouan-Al Hoceïma
Guelmim,28.9870,-10.0574,118318,Guelmim-Oued Noun
Dakhla,23.7136,-15.9355,106277,Dakhla-Oued Ed-Dahab
